country,continent,1989_life_exp,1999_life_exp,2009_life_exp,2019_life_exp,2023_life_exp,1989_income_pp,1999_income_pp,2009_income_pp,2019_income_pp,2023_income_pp,1989_population,1999_population,2009_population,2019_population,2023_population,1989_children_per_women,1999_children_per_women,2009_children_per_women,2019_children_per_women,2023_children_per_women,1989_child_mortality,1999_child_mortality,2009_child_mortality,2019_child_mortality,2023_child_mortality
Algeria,Africa,67.1,70.7,74.2,76.2,76.9,7.41,7.59,8.93,9.65,9.5,24900000.0,30300000.0,35200000.0,42700000.0,45600000.0,24.9,30.3,35.2,42.7,45.6,51.4,40.3,28.3,22.8,20.4
Angola,Africa,49.4,51.9,59.5,65.1,66.4,7.29,7.27,6.4,5.26,4.63,11400000.0,15900000.0,22500000.0,32400000.0,36700000.0,11.4,15.9,22.5,32.4,36.7,223.0,211.0,129.0,74.5,67.0
Benin,Africa,55.3,57.3,60.7,64.5,65.8,2.29,2.61,2.93,4.84,5.4,4980000.0,6790000.0,9170000.0,12300000.0,13700000.0,4.98,6.79,9.17,12.3,13.7,180.0,143.0,113.0,90.9,82.5
Botswana,Africa,62.1,46.4,56.1,62.3,62.7,5.54,8.45,11.0,9.75,10.2,1300000.0,1690000.0,2049999.9999999998,2500000.0,2680000.0,1.3,1.69,2.05,2.5,2.68,50.1,85.1,55.5,35.6,32.5
Burundi,Africa,49.0,44.3,57.7,63.8,65.2,1.8,1.69,2.13,2.03,1.97,5370000.0,6180000.0,8710000.0,11900000.0,13200000.0,5.37,6.18,8.71,11.9,13.2,172.0,162.0,96.8,56.7,51.0
Cameroon,Africa,58.5,54.8,57.2,63.4,64.6,4.33,4.07,4.77,6.12,6.17,11100000.0,14700000.0,19300000.0,25800000.0,28600000.0,11.1,14.7,19.3,25.8,28.6,136.0,152.0,112.0,73.9,67.1
Cape Verde,Africa,69.4,69.7,74.1,73.7,74.4,3.51,6.6,8.55,11.1,11.3,358000.0,450000.0,516000.0,577000.0,599000.0,358.0,450.0,516.0,577.0,599.0,63.2,40.0,25.4,18.8,16.4
Central African Republic,Africa,48.7,43.8,47.4,52.4,53.6,1.69,2.02,2.97,2.35,2.21,2720000.0,3660000.0,4560000.0,5210000.0,5740000.0,2.72,3.66,4.56,5.21,5.74,179.0,173.0,154.0,113.0,102.0
Chad,Africa,53.7,52.5,56.0,60.4,61.6,2.21,2.1,3.43,3.81,3.48,5670000.0,7980000.0,11500000.0,16100000.000000002,18300000.0,5.67,7.98,11.5,16.1,18.3,215.0,189.0,154.0,117.0,108.0
Comoros,Africa,58.0,61.2,64.8,68.7,69.6,7.41,7.72,7.47,6.64,6.51,420000.0,526000.0,642000.0,791000.0,852000.0,420.0,526.0,642.0,791.0,852.0,129.0,102.0,89.8,66.2,61.0
Djibouti,Africa,60.8,60.3,62.9,66.8,67.8,6.52,4.79,5.46,5.83,6.32,521000.0,719000.0,901000.0,1070000.0,1140000.0,521.0,719.0,901.0,1.07,1.14,121.0,103.0,78.7,55.5,49.2
Egypt,Africa,63.1,67.9,69.3,71.0,71.6,5.48,6.66,6.21,6.76,7.49,55800000.0,69900000.0,85500000.0,106000000.0,113000000.0,55.8,69.9,85.5,106.0,113.0,90.3,49.8,30.2,20.5,18.0
Equatorial Guinea,Africa,51.1,56.6,63.5,66.0,67.4,1.42,9.8,35.2,16.4,13.6,448000.0,655000.0,1040000.0,1550000.0,1710000.0,448.0,655.0,1.04,1.55,1.71,181.0,161.0,116.0,83.1,75.5
Eritrea,Africa,46.3,47.3,59.6,63.8,65.1,1.97,3.76,2.24,2.96,3.39,2100000.0,2360000.0,3080000.0,3500000.0,3750000.0,2.1,2.36,3.08,3.5,3.75,159.0,90.1,57.5,39.8,32.6
Ethiopia,Africa,47.3,50.8,61.9,68.8,70.3,2.94,2.34,3.34,4.66,5.31,46200000.0,65099999.99999999,86800000.0,114000000.0,127000000.0,46.2,65.1,86.8,114.0,127.0,206.0,148.0,87.7,53.0,44.5
Gabon,Africa,60.5,59.8,62.7,67.8,68.5,8.53,9.5,9.83,12.3,12.1,957000.0,1240000.0,1650000.0,2240000.0,2440000.0,957.0,1.24,1.65,2.24,2.44,93.6,86.0,65.4,43.5,39.5
Gambia,Africa,60.4,61.5,63.3,66.7,68.2,2.01,2.15,4.24,5.09,5.42,1000000.0,1400000.0,1880000.0,2510000.0,2770000.0,1000.0,1.4,1.88,2.51,2.77,173.0,119.0,80.0,56.8,50.1
Ghana,Africa,59.2,59.7,61.3,66.3,67.3,2.34,2.75,4.16,5.84,5.93,15100000.0,19200000.0,25000000.0,31500000.0,34100000.0,15.1,19.2,25.0,31.5,34.1,133.0,103.0,73.2,46.2,41.4
Guinea,Africa,51.4,54.4,57.1,61.2,62.5,1.06,3.23,3.34,4.53,4.96,6140000.0,8170000.0,10000000.0,12900000.0,14200000.0,6.14,8.17,10.0,12.9,14.2,241.0,174.0,120.0,97.3,87.2
Guinea-Bissau,Africa,48.1,50.0,55.5,61.0,62.2,4.23,2.89,2.59,4.29,4.31,958000.0,1210000.0,1530000.0,1970000.0,2150000.0,958.0,1.21,1.53,1.97,2.15,227.0,180.0,120.0,79.1,72.0
Kenya,Africa,62.8,54.9,60.3,66.5,67.5,7.21,4.83,4.19,3.64,3.81,22400000.0,30000000.0,40400000.0,51000000.0,55100000.0,22.4,30.0,40.4,51.0,55.1,103.0,110.0,59.6,39.8,34.9
Lesotho,Africa,60.7,50.2,47.4,51.8,53.3,3.77,2.88,3.17,4.43,4.16,1770000.0,1990000.0,2009999.9999999998,2230000.0,2330000.0,1.77,1.99,2.01,2.23,2.33,90.3,115.0,107.0,78.5,67.2
Liberia,Africa,52.8,53.8,61.5,66.1,67.2,7.47,2.7,2.86,3.71,3.8,2510000.0,2790000.0,3910000.0,4990000.0,5420000.0,2.51,2.79,3.91,4.99,5.42,258.0,199.0,101.0,69.0,61.8
Libya,Africa,72.2,74.9,75.7,75.9,76.6,11.4,23.5,30.2,22.3,21.8,4130000.0,5060000.0,6360000.0,6570000.0,6890000.0,4.13,5.06,6.36,6.57,6.89,43.9,29.0,17.6,11.6,10.3
Madagascar,Africa,55.4,59.1,62.3,65.5,66.8,2.42,2.05,1.74,1.68,1.62,11500000.0,15700000.0,21100000.0,27500000.0,30300000.0,11.5,15.7,21.1,27.5,30.3,165.0,113.0,70.0,51.1,42.3
Malawi,Africa,49.7,45.5,55.0,64.7,66.3,4.02,3.73,2.26,2.07,1.98,9170000.0,11000000.0,14300000.0,18900000.0,20900000.0,9.17,11.0,14.3,18.9,20.9,245.0,183.0,93.2,47.3,39.2
Mali,Africa,50.0,52.9,58.0,61.8,63.3,1.34,2.19,2.76,5.0,4.87,8770000.0,10900000.0,15000000.0,20600000.0,23300000.0,8.77,10.9,15.0,20.6,23.3,235.0,194.0,136.0,95.0,85.3
Mauritania,Africa,59.0,63.1,67.8,70.8,71.6,3.62,4.81,5.85,6.92,6.99,1960000.0,2620000.0,3320000.0,4380000.0,4860000.0,1.96,2.62,3.32,4.38,4.86,120.0,114.0,99.8,73.8,68.0
Mauritius,Africa,69.9,71.9,73.8,75.5,76.1,8.4,11.0,14.0,17.7,17.9,1080000.0,1210000.0,1280000.0,1300000.0,1300000.0,1.08,1.21,1.28,1.3,1.3,24.9,20.2,15.4,15.1,13.6
Morocco,Africa,66.1,68.9,71.6,73.3,74.2,7.39,6.75,9.18,11.8,11.7,24100000.0,28200000.0,32000000.0,36300000.0,37800000.0,24.1,28.2,32.0,36.3,37.8,83.0,51.7,33.5,21.5,18.2
Mozambique,Africa,51.4,52.4,53.5,58.4,59.9,1.58,1.68,2.23,2.1,2.12,13100000.0,17300000.0,22400000.0,30300000.0,33900000.0,13.1,17.3,22.4,30.3,33.9,244.0,181.0,108.0,70.6,61.2
Namibia,Africa,62.3,55.2,60.1,65.2,66.6,7.07,7.17,8.06,10.8,10.3,1290000.0,1780000.0,2069999.9999999998,2450000.0,2600000.0,1.29,1.78,2.07,2.45,2.6,76.2,76.2,50.7,38.2,32.6
Niger,Africa,46.9,51.5,58.7,62.5,63.9,1.72,1.5,2.04,2.91,3.06,8119999.999999999,11200000.0,16000000.0,23400000.0,27200000.0,8.12,11.2,16.0,23.4,27.2,333.0,235.0,131.0,80.5,70.8
Nigeria,Africa,54.6,54.6,59.0,64.3,65.8,2.88,2.92,3.41,3.65,3.58,92700000.0,120000000.0,157000000.0,203000000.0,224000000.0,92.7,120.0,157.0,203.0,224.0,211.0,190.0,138.0,117.0,106.0
Rwanda,Africa,51.2,49.3,63.4,68.7,69.8,2.78,2.0,2.87,3.54,3.99,7140000.0,8010000.0,10000000.0,12800000.0,14100000.0,7.14,8.01,10.0,12.8,14.1,151.0,191.0,70.7,33.6,27.8
Sao Tome and Principe,Africa,63.0,64.6,68.6,70.9,71.7,4.67,4.23,3.86,5.57,5.48,117000.0,142000.0,178000.0,215000.0,232000.0,117.0,142.0,178.0,215.0,232.0,107.0,89.3,48.2,30.2,26.7
Senegal,Africa,58.3,60.1,65.4,68.5,69.5,2.34,2.82,3.35,6.09,6.41,7320000.0,9480000.0,12200000.0,16000000.0,17800000.0,7.32,9.48,12.2,16.0,17.8,143.0,136.0,70.7,42.0,35.6
Seychelles,Africa,70.5,71.8,72.9,73.6,74.0,13.4,20.2,20.6,23.1,24.4,70300.0,78800.0,91000.0,104000.0,108000.0,70.3,78.8,91.0,104.0,108.0,17.2,13.7,14.0,14.2,13.1
Sierra Leone,Africa,50.7,50.0,55.3,61.8,63.4,2.12,2.36,2.99,4.0,3.97,4160000.0,4480000.0,6260000.0,8050000.000000001,8790000.0,4.16,4.48,6.26,8.05,8.79,264.0,239.0,172.0,102.0,91.9
Somalia,Africa,49.5,51.1,54.6,58.5,59.6,3.26,2.07,2.1,2.76,2.81,7040000.0,8380000.000000001,11700000.0,16000000.0,18100000.0,7.04,8.38,11.7,16.0,18.1,183.0,172.0,162.0,119.0,110.0
South Africa,Africa,63.8,57.2,55.7,65.1,66.1,8.19,6.56,12.4,11.8,11.4,38700000.0,46400000.0,51200000.0,58100000.0,60400000.0,38.7,46.4,51.2,58.1,60.4,61.1,71.7,58.0,32.9,29.8
South Sudan,Africa,54.2,56.3,59.8,63.7,64.9,7.06,4.43,4.44,1.83,1.67,4710000.0,5850000.0,9230000.0,10400000.0,11100000.0,4.71,5.85,9.23,10.4,11.1,259.0,192.0,115.0,97.6,91.0
Sudan,Africa,57.9,62.9,67.0,70.5,71.5,2.55,3.64,4.67,3.95,2.72,20700000.0,25600000.0,32900000.0,43200000.0,48100000.0,20.7,25.6,32.9,43.2,48.1,134.0,108.0,78.1,59.1,53.8
Tanzania,Africa,55.8,53.0,60.3,67.2,68.4,1.95,1.48,2.88,3.38,3.52,25500000.0,33500000.0,44000000.0,59900000.0,67400000.0,25.5,33.5,44.0,59.9,67.4,168.0,137.0,76.1,51.3,44.2
Togo,Africa,57.8,56.5,58.7,65.0,66.3,2.82,2.83,2.61,4.66,5.11,3760000.0,4870000.0,6400000.0,8240000.0,9050000.0,3.76,4.87,6.4,8.24,9.05,148.0,123.0,92.3,68.0,61.0
Tunisia,Africa,72.1,74.0,76.0,77.7,78.5,7.41,8.76,11.3,14.2,13.6,8260000.0,9790000.0,10800000.0,12000000.0,12500000.0,8.26,9.79,10.8,12.0,12.5,58.0,32.3,18.9,16.5,14.3
Uganda,Africa,49.1,49.1,58.5,66.2,67.5,2.52,2.22,3.38,3.52,3.62,17000000.0,23300000.0,31400000.0,42900000.0,48600000.0,17.0,23.3,31.4,42.9,48.6,188.0,154.0,82.9,44.6,39.3
Zambia,Africa,53.0,45.3,55.7,63.2,64.2,3.17,3.35,2.68,2.98,2.94,7490000.0,9620000.0,13300000.0,18400000.0,20600000.0,7.49,9.62,13.3,18.4,20.6,184.0,169.0,85.1,56.1,50.1
Zimbabwe,Africa,63.2,48.5,50.2,61.0,61.9,7.36,7.87,4.04,4.5,4.46,9850000.0,11700000.0,12700000.0,15400000.0,16700000.0,9.85,11.7,12.7,15.4,16.7,77.8,105.0,92.7,44.4,40.6
Afghanistan,Asia,52.7,54.7,59.9,63.3,64.6,3.44,1.82,4.06,4.62,3.1,10700000.0,19300000.0,27400000.0,37800000.0,42200000.0,10.7,19.3,27.4,37.8,42.2,185.0,133.0,91.9,60.1,52.4
Bahrain,Asia,69.5,71.2,74.5,77.0,77.5,24.9,41.2,46.1,51.0,53.3,500000.0,692000.0,1180000.0,1490000.0,1490000.0,500.0,692.0,1.18,1.49,1.49,23.2,13.2,8.92,6.89,6.18
Bangladesh,Asia,57.7,65.1,69.6,74.5,75.7,2.77,3.4,4.03,4.7,5.19,105000000.0,127000000.0,147000000.0,166000000.0,173000000.0,105.0,127.0,147.0,166.0,173.0,150.0,92.2,52.2,28.9,24.4
Bhutan,Asia,59.6,66.0,70.5,73.2,74.3,3.21,4.98,8.21,12.5,16.4,544000.0,571000.0,698000.0,767000.0,787000.0,544.0,571.0,698.0,767.0,787.0,133.0,82.0,45.1,28.5,24.5
Brunei,Asia,69.3,72.3,73.8,74.4,74.9,87.8,77.5,69.1,64.0,60.7,254000.0,327000.0,390000.0,438000.0,453000.0,254.0,327.0,390.0,438.0,453.0,13.6,10.7,9.55,11.3,10.2
Cambodia,Asia,57.4,60.0,66.5,69.9,70.8,2.29,1.94,3.4,5.83,6.19,8570000.0,11900000.0,14200000.0,16200000.0,16900000.0,8.57,11.9,14.2,16.2,16.9,116.0,114.0,47.9,27.0,23.1
China,Asia,67.7,71.2,74.7,77.6,78.3,1.91,3.08,6.79,14.2,16.0,1130000000.0,1260000000.0,1340000000.0,1420000000.0,1430000000.0,1.13,1.26,1.34,1.42,1.43,53.9,39.2,17.0,8.34,7.39
India,Asia,59.1,62.6,66.8,70.8,71.7,2.69,2.97,3.51,4.97,5.49,852000000.0,1040000000.0,1220000000.0,1380000000.0,1430000000.0,852.0,1.04,1.22,1.38,1.43,130.0,95.2,61.4,35.2,30.6
Indonesia,Asia,63.7,67.0,69.1,71.4,72.1,2.14,2.83,4.31,7.34,8.12,179000000.0,211000000.0,241000000.0,270000000.0,278000000.0,179.0,211.0,241.0,270.0,278.0,88.0,54.9,35.5,24.1,21.2
Iran,Asia,68.1,71.6,75.1,77.8,78.5,8.9,11.5,16.4,14.5,16.0,53600000.0,64500000.0,74300000.0,86600000.0,89200000.0,53.6,64.5,74.3,86.6,89.2,59.2,36.2,20.7,13.9,11.9
Iraq,Asia,66.8,68.3,70.1,73.3,73.8,10.1,10.2,11.0,12.6,10.7,17400000.0,23800000.0,30300000.0,41600000.0,45500000.0,17.4,23.8,30.3,41.6,45.5,54.9,45.2,35.8,25.9,23.4
Israel,Asia,77.0,78.7,81.4,83.0,83.6,22.1,26.8,31.7,41.9,45.8,4670000.0,5990000.0,7200000.0,8610000.0,9170000.0,4.67,5.99,7.2,8.61,9.17,12.1,7.17,4.72,3.58,3.11
Japan,Asia,79.3,81.2,83.3,84.8,85.3,37.4,40.6,47.2,52.4,53.6,123000000.0,127000000.0,128000000.0,126000000.0,123000000.0,123.0,127.0,128.0,126.0,123.0,6.45,4.73,3.3,2.41,2.2
Jordan,Asia,70.7,72.5,76.7,78.2,78.8,15.2,12.5,16.0,13.6,13.6,3310000.0,4950000.0,6780000.0,10700000.0,11300000.0,3.31,4.95,6.78,10.7,11.3,37.4,27.8,20.9,15.7,14.2
Kazakhstan,Asia,68.3,64.8,67.3,71.9,72.4,8.15,5.9,9.34,12.8,13.1,16700000.0,15300000.0,16399999.999999998,18800000.0,19600000.0,16.7,15.3,16.4,18.8,19.6,52.9,45.3,22.4,9.28,8.34
Kuwait,Asia,75.3,77.8,78.7,81.5,81.9,36.3,56.6,66.1,48.2,48.8,2210000.0,1880000.0,2800000.0,4440000.0,4310000.0,2.21,1.88,2.8,4.44,4.31,18.5,12.7,10.7,7.63,6.83
Lebanon,Asia,70.3,74.6,75.5,76.6,77.0,9.12,19.7,28.8,27.6,21.2,3530000.0,4250000.0,4950000.0,5780000.0,5350000.0,3.53,4.25,4.95,5.78,5.35,33.9,21.0,10.8,7.39,7.06
Malaysia,Asia,71.6,72.1,74.2,75.0,75.6,12.5,17.5,20.2,33.8,35.5,17000000.0,22400000.0,28200000.0,32799999.999999996,34300000.0,17.0,22.4,28.2,32.8,34.3,17.4,11.0,7.91,7.58,6.85
Maldives,Asia,64.9,71.6,77.5,79.1,80.2,4.82,6.97,8.72,18.7,20.3,218000.0,278000.0,349000.0,505000.0,521000.0,218.0,278.0,349.0,505.0,521.0,90.8,43.8,14.9,8.24,6.86
Mongolia,Asia,60.2,60.7,64.8,68.1,68.8,5.94,3.76,8.53,10.2,10.3,2120000.0,2430000.0,2670000.0,3230000.0,3450000.0,2.12,2.43,2.67,3.23,3.45,113.0,68.6,28.6,15.7,13.4
Nepal,Asia,57.6,64.8,68.8,71.1,72.2,2.28,3.14,4.96,7.59,7.7,19100000.0,24100000.0,27000000.0,28800000.0,30900000.0,19.1,24.1,27.0,28.8,30.9,147.0,85.8,49.4,31.0,26.7
Oman,Asia,66.3,68.8,70.2,74.0,74.7,21.6,34.4,42.7,33.5,34.3,1710000.0,2310000.0,2700000.0,4600000.0,4640000.0,1.71,2.31,2.7,4.6,4.64,42.9,17.6,11.8,10.9,9.5
Pakistan,Asia,61.0,60.9,63.1,65.9,66.5,2.16,3.34,4.19,5.02,5.18,112000000.0,150000000.0,190000000.0,223000000.0,240000000.0,112.0,150.0,190.0,223.0,240.0,141.0,115.0,90.0,67.9,62.9
Philippines,Asia,67.9,70.5,70.4,71.8,72.3,4.69,6.45,6.99,8.0,8.48,60100000.0,76200000.0,92900000.0,110000000.0,117000000.0,60.1,76.2,92.9,110.0,117.0,60.2,38.6,32.4,27.8,25.5
Qatar,Asia,70.3,70.6,72.8,76.3,76.8,55.9,84.7,107.0,105.0,113.0,427000.0,613000.0,1610000.0,2810000.0,2720000.0,427.0,613.0,1.61,2.81,2.72,22.2,12.9,9.2,6.66,6.02
Saudi Arabia,Asia,68.2,70.2,71.6,74.5,75.1,31.3,38.7,41.6,48.0,50.4,15400000.0,21000000.0,28500000.0,35800000.0,36900000.0,15.4,21.0,28.5,35.8,36.9,48.4,23.5,12.9,6.75,5.95
Singapore,Asia,75.2,78.8,82.5,84.8,85.4,39.9,61.4,82.3,117.0,129.0,2950000.0,3970000.0,5010000.0,5870000.0,6010000.0,2.95,3.97,5.01,5.87,6.01,8.4,4.12,2.83,2.7,2.43
Sri Lanka,Asia,69.3,71.6,73.4,77.3,78.0,4.53,5.45,6.91,9.25,8.64,17000000.0,18700000.0,20500000.0,21600000.0,21900000.0,17.0,18.7,20.5,21.6,21.9,22.2,17.1,12.0,7.2,6.37
Syria,Asia,68.9,70.9,74.7,73.9,77.4,5.89,8.16,10.7,6.37,2.81,12000000.0,15900000.0,21800000.0,20100000.0,23200000.0,12.0,15.9,21.8,20.1,23.2,39.0,24.6,16.3,15.8,11.7
Tajikistan,Asia,66.9,66.3,68.0,69.6,70.3,7.61,2.13,5.57,7.87,9.53,5260000.0,6190000.0,7470000.0,9340000.0,10100000.0,5.26,6.19,7.47,9.34,10.1,102.0,90.4,44.8,33.6,29.0
Thailand,Asia,71.1,71.4,76.9,78.4,79.1,6.25,8.68,13.3,16.0,17.5,54300000.0,62400000.0,67800000.0,71300000.0,71800000.0,54.3,62.4,67.8,71.3,71.8,38.9,23.0,14.0,8.77,7.85
Turkey,Asia,68.3,72.8,76.8,78.4,79.3,10.7,11.1,16.4,22.2,26.7,53300000.0,63200000.0,72200000.0,83500000.0,85800000.0,53.3,63.2,72.2,83.5,85.8,78.4,40.9,18.6,10.1,8.71
Turkmenistan,Asia,65.6,65.5,68.8,70.8,71.3,6.48,3.83,6.68,12.8,12.7,3620000.0,4500000.0,5180000.0,6160000.0,6520000.0,3.62,4.5,5.18,6.16,6.52,86.5,83.1,61.9,45.1,42.0
Uzbekistan,Asia,69.3,65.5,66.2,68.4,68.8,3.85,1.97,2.2,3.4,3.83,20100000.0,24600000.0,28200000.0,33000000.0,35200000.0,20.1,24.6,28.2,33.0,35.2,73.5,65.2,38.9,20.8,19.4
